line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,N21765 /1 undetected,output,,N21765,N21765,1,undetected,N21765,N21765,N21765,sa1,1
2,N5155 /1 undetected,output,,N5155,N5155,1,undetected,N5155,N5155,N5155,sa1,1
3,N5154 /1 undetected,output,,N5154,N5154,1,undetected,N5154,N5154,N5154,sa1,1
4,N14875 /1 undetected,output,,N14875,N14875,1,undetected,N14875,N14875,N14875,sa1,1
5,N14840 /1 undetected,output,,N14840,N14840,1,undetected,N14840,N14840,N14840,sa1,1
6,N14795 /1 undetected,output,,N14795,N14795,1,undetected,N14795,N14795,N14795,sa1,1
7,N59196 /1 undetected,output,,N59196,N59196,1,undetected,N59196,N59196,N59196,sa1,1
8,N41206 /1 undetected,output,,N41206,N41206,1,undetected,N41206,N41206,N41206,sa1,1
9,N5923 /1 undetected,output,,N5923,N5923,1,undetected,N5923,N5923,N5923,sa1,1
10,N48913 /1 undetected,output,,N48913,N48913,1,undetected,N48913,N48913,N48913,sa1,1
11,N6239 /1 undetected,output,,N6239,N6239,1,undetected,N6239,N6239,N6239,sa1,1
12,N7264 /1 undetected,output,,N7264,N7264,1,undetected,N7264,N7264,N7264,sa1,1
13,N53167 /1 undetected,output,,N53167,N53167,1,undetected,N53167,N53167,N53167,sa1,1
14,N52998 /1 undetected,output,,N52998,N52998,1,undetected,N52998,N52998,N52998,sa1,1
15,N51419 /1 undetected,output,,N51419,N51419,1,undetected,N51419,N51419,N51419,sa1,1
16,N16046 /1 undetected,output,,N16046,N16046,1,undetected,N16046,N16046,N16046,sa1,1
17,N52775 /1 undetected,output,,N52775,N52775,1,undetected,N52775,N52775,N52775,sa1,1
18,N16047 /1 undetected,output,,N16047,N16047,1,undetected,N16047,N16047,N16047,sa1,1
19,N15927 /1 undetected,output,,N15927,N15927,1,undetected,N15927,N15927,N15927,sa1,1
20,N54295 /1 undetected,output,,N54295,N54295,1,undetected,N54295,N54295,N54295,sa1,1
21,N2715 /1 undetected,output,,N2715,N2715,1,undetected,N2715,N2715,N2715,sa1,1
22,N42777 /1 undetected,output,,N42777,N42777,1,undetected,N42777,N42777,N42777,sa1,1
23,N20868 /1 undetected,output,,N20868,N20868,1,undetected,N20868,N20868,N20868,sa1,1
24,N1943 /1 undetected,output,,N1943,N1943,1,undetected,N1943,N1943,N1943,sa1,1
25,N1942 /1 undetected,output,,N1942,N1942,1,undetected,N1942,N1942,N1942,sa1,1
26,N8848 /1 undetected,output,,N8848,N8848,1,undetected,N8848,N8848,N8848,sa1,1
27,N40148 /1 undetected,output,,N40148,N40148,1,undetected,N40148,N40148,N40148,sa1,1
28,N55381 /1 undetected,output,,N55381,N55381,1,undetected,N55381,N55381,N55381,sa1,1
29,N8847 /1 undetected,output,,N8847,N8847,1,undetected,N8847,N8847,N8847,sa1,1
30,N8839 /1 undetected,output,,N8839,N8839,1,undetected,N8839,N8839,N8839,sa1,1
31,N55435 /1 undetected,output,,N55435,N55435,1,undetected,N55435,N55435,N55435,sa1,1
32,N55379 /1 undetected,output,,N55379,N55379,1,undetected,N55379,N55379,N55379,sa1,1
33,N4001 /1 undetected,output,,N4001,N4001,1,undetected,N4001,N4001,N4001,sa1,1
34,N47005 /1 undetected,output,,N47005,N47005,1,undetected,N47005,N47005,N47005,sa1,1
35,N46638 /1 undetected,output,,N46638,N46638,1,undetected,N46638,N46638,N46638,sa1,1
36,N4009 /1 undetected,output,,N4009,N4009,1,undetected,N4009,N4009,N4009,sa1,1
37,N50782 /1 undetected,output,,N50782,N50782,1,undetected,N50782,N50782,N50782,sa1,1
38,N15098 /1 undetected,output,,N15098,N15098,1,undetected,N15098,N15098,N15098,sa1,1
39,N34242 /1 undetected,output,,N34242,N34242,1,undetected,N34242,N34242,N34242,sa1,1
40,N50648 /1 undetected,output,,N50648,N50648,1,undetected,N50648,N50648,N50648,sa1,1
41,N56781 /1 undetected,output,,N56781,N56781,1,undetected,N56781,N56781,N56781,sa1,1
42,N56338 /1 undetected,output,,N56338,N56338,1,undetected,N56338,N56338,N56338,sa1,1
43,N56380 /1 undetected,output,,N56380,N56380,1,undetected,N56380,N56380,N56380,sa1,1
44,N12904 /1 undetected,output,,N12904,N12904,1,undetected,N12904,N12904,N12904,sa1,1
45,N44679 /1 undetected,output,,N44679,N44679,1,undetected,N44679,N44679,N44679,sa1,1
46,N58053 /1 undetected,output,,N58053,N58053,1,undetected,N58053,N58053,N58053,sa1,1
47,N44747 /1 undetected,output,,N44747,N44747,1,undetected,N44747,N44747,N44747,sa1,1
48,N62134 /1 undetected,output,,N62134,N62134,1,undetected,N62134,N62134,N62134,sa1,1
