line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_op_382_N14476 /1 undetected,output,,__tpi_op_382_N14476,__tpi_op_382_N14476,1,undetected,__tpi_op_382_N14476,__tpi_op_382_N14476,__tpi_op_382_N14476,sa1,1
2,__tpi_op_381_N8237 /1 undetected,output,,__tpi_op_381_N8237,__tpi_op_381_N8237,1,undetected,__tpi_op_381_N8237,__tpi_op_381_N8237,__tpi_op_381_N8237,sa1,1
3,N21765 /1 undetected,output,,N21765,N21765,1,undetected,N21765,N21765,N21765,sa1,1
4,N5155 /1 undetected,output,,N5155,N5155,1,undetected,N5155,N5155,N5155,sa1,1
5,N5154 /1 undetected,output,,N5154,N5154,1,undetected,N5154,N5154,N5154,sa1,1
6,N14875 /1 undetected,output,,N14875,N14875,1,undetected,N14875,N14875,N14875,sa1,1
7,N14840 /1 undetected,output,,N14840,N14840,1,undetected,N14840,N14840,N14840,sa1,1
8,N14795 /1 undetected,output,,N14795,N14795,1,undetected,N14795,N14795,N14795,sa1,1
9,N59196 /1 undetected,output,,N59196,N59196,1,undetected,N59196,N59196,N59196,sa1,1
10,N41206 /1 undetected,output,,N41206,N41206,1,undetected,N41206,N41206,N41206,sa1,1
11,N5923 /1 undetected,output,,N5923,N5923,1,undetected,N5923,N5923,N5923,sa1,1
12,N48913 /1 undetected,output,,N48913,N48913,1,undetected,N48913,N48913,N48913,sa1,1
13,N6239 /1 undetected,output,,N6239,N6239,1,undetected,N6239,N6239,N6239,sa1,1
14,N51419 /1 undetected,output,,N51419,N51419,1,undetected,N51419,N51419,N51419,sa1,1
15,N16046 /1 undetected,output,,N16046,N16046,1,undetected,N16046,N16046,N16046,sa1,1
16,N15926 /1 undetected,output,,N15926,N15926,1,undetected,N15926,N15926,N15926,sa1,1
17,N52775 /1 undetected,output,,N52775,N52775,1,undetected,N52775,N52775,N52775,sa1,1
18,N16047 /1 undetected,output,,N16047,N16047,1,undetected,N16047,N16047,N16047,sa1,1
19,N15934 /1 undetected,output,,N15934,N15934,1,undetected,N15934,N15934,N15934,sa1,1
20,N15876 /1 undetected,output,,N15876,N15876,1,undetected,N15876,N15876,N15876,sa1,1
21,N15927 /1 undetected,output,,N15927,N15927,1,undetected,N15927,N15927,N15927,sa1,1
22,N54295 /1 undetected,output,,N54295,N54295,1,undetected,N54295,N54295,N54295,sa1,1
23,N2715 /1 undetected,output,,N2715,N2715,1,undetected,N2715,N2715,N2715,sa1,1
24,N42777 /1 undetected,output,,N42777,N42777,1,undetected,N42777,N42777,N42777,sa1,1
25,N20868 /1 undetected,output,,N20868,N20868,1,undetected,N20868,N20868,N20868,sa1,1
26,N1943 /1 undetected,output,,N1943,N1943,1,undetected,N1943,N1943,N1943,sa1,1
27,N1942 /1 undetected,output,,N1942,N1942,1,undetected,N1942,N1942,N1942,sa1,1
28,N8848 /1 undetected,output,,N8848,N8848,1,undetected,N8848,N8848,N8848,sa1,1
29,N40148 /1 undetected,output,,N40148,N40148,1,undetected,N40148,N40148,N40148,sa1,1
30,N55381 /1 undetected,output,,N55381,N55381,1,undetected,N55381,N55381,N55381,sa1,1
31,N8847 /1 undetected,output,,N8847,N8847,1,undetected,N8847,N8847,N8847,sa1,1
32,N8839 /1 undetected,output,,N8839,N8839,1,undetected,N8839,N8839,N8839,sa1,1
33,N55435 /1 undetected,output,,N55435,N55435,1,undetected,N55435,N55435,N55435,sa1,1
34,N55379 /1 undetected,output,,N55379,N55379,1,undetected,N55379,N55379,N55379,sa1,1
35,N58033 /1 undetected,output,,N58033,N58033,1,undetected,N58033,N58033,N58033,sa1,1
36,N46638 /1 undetected,output,,N46638,N46638,1,undetected,N46638,N46638,N46638,sa1,1
37,N15077 /1 undetected,output,,N15077,N15077,1,undetected,N15077,N15077,N15077,sa1,1
38,N23250 /1 undetected,output,,N23250,N23250,1,undetected,N23250,N23250,N23250,sa1,1
39,N15070 /1 undetected,output,,N15070,N15070,1,undetected,N15070,N15070,N15070,sa1,1
40,N15069 /1 undetected,output,,N15069,N15069,1,undetected,N15069,N15069,N15069,sa1,1
41,N50748 /1 undetected,output,,N50748,N50748,1,undetected,N50748,N50748,N50748,sa1,1
42,N14940 /1 undetected,output,,N14940,N14940,1,undetected,N14940,N14940,N14940,sa1,1
43,N15068 /1 undetected,output,,N15068,N15068,1,undetected,N15068,N15068,N15068,sa1,1
44,N15067 /1 undetected,output,,N15067,N15067,1,undetected,N15067,N15067,N15067,sa1,1
45,N15066 /1 undetected,output,,N15066,N15066,1,undetected,N15066,N15066,N15066,sa1,1
