line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,N51865 /1 undetected,output,,N51865,N51865,1,undetected,N51865,N51865,N51865,sa1,1
2,N6964 /1 undetected,output,,N6964,N6964,1,undetected,N6964,N6964,N6964,sa1,1
3,N53127 /1 undetected,output,,N53127,N53127,1,undetected,N53127,N53127,N53127,sa1,1
4,test_en->__tpi_cp_29_N6008 /0 undetected,input_edge,test_en,__tpi_cp_29_N6008,__tpi_cp_29_N6008,0,undetected,__tpi_cp_29_N6008,__tpi_cp_29_N6008,__tpi_cp_29_N6008,sa0,1
5,N6008 /0 undetected,output,,N6008,N6008,0,undetected,N6008,N6008,N6008,sa0,1
6,__tpi_not_test_en->__tpi_cp_124_N6867 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_124_N6867,__tpi_cp_124_N6867,1,undetected,__tpi_cp_124_N6867,__tpi_cp_124_N6867,__tpi_cp_124_N6867,sa1,1
7,N52915 /1 undetected,output,,N52915,N52915,1,undetected,N52915,N52915,N52915,sa1,1
8,__tpi_not_test_en->__tpi_cp_253_N6970 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_253_N6970,__tpi_cp_253_N6970,1,undetected,__tpi_cp_253_N6970,__tpi_cp_253_N6970,__tpi_cp_253_N6970,sa1,1
9,N5047 /1 undetected,output,,N5047,N5047,1,undetected,N5047,N5047,N5047,sa1,1
10,N14280 /1 undetected,output,,N14280,N14280,1,undetected,N14280,N14280,N14280,sa1,1
11,N40420 /1 undetected,output,,N40420,N40420,1,undetected,N40420,N40420,N40420,sa1,1
12,N57693 /1 undetected,output,,N57693,N57693,1,undetected,N57693,N57693,N57693,sa1,1
13,N14279 /1 undetected,output,,N14279,N14279,1,undetected,N14279,N14279,N14279,sa1,1
14,N14272 /1 undetected,output,,N14272,N14272,1,undetected,N14272,N14272,N14272,sa1,1
15,N57753 /1 undetected,output,,N57753,N57753,1,undetected,N57753,N57753,N57753,sa1,1
16,N57691 /1 undetected,output,,N57691,N57691,1,undetected,N57691,N57691,N57691,sa1,1
17,N5777 /1 undetected,output,,N5777,N5777,1,undetected,N5777,N5777,N5777,sa1,1
18,__tpi_not_test_en->__tpi_cp_216_N6110 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_216_N6110,__tpi_cp_216_N6110,1,undetected,__tpi_cp_216_N6110,__tpi_cp_216_N6110,__tpi_cp_216_N6110,sa1,1
19,__tpi_not_test_en->__tpi_cp_275_N6107 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_275_N6107,__tpi_cp_275_N6107,1,undetected,__tpi_cp_275_N6107,__tpi_cp_275_N6107,__tpi_cp_275_N6107,sa1,1
20,__tpi_not_test_en->__tpi_cp_177_N6118 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_177_N6118,__tpi_cp_177_N6118,1,undetected,__tpi_cp_177_N6118,__tpi_cp_177_N6118,__tpi_cp_177_N6118,sa1,1
