line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_op_395___buf_split_21818 /0 undetected,output,,__tpi_op_395___buf_split_21818,__tpi_op_395___buf_split_21818,0,undetected,__tpi_op_395___buf_split_21818,__tpi_op_395___buf_split_21818,__tpi_op_395___buf_split_21818,sa0,1
2,__tpi_op_352_N58871 /0 undetected,output,,__tpi_op_352_N58871,__tpi_op_352_N58871,0,undetected,__tpi_op_352_N58871,__tpi_op_352_N58871,__tpi_op_352_N58871,sa0,1
3,__tpi_op_329___buf_split_21819 /0 undetected,output,,__tpi_op_329___buf_split_21819,__tpi_op_329___buf_split_21819,0,undetected,__tpi_op_329___buf_split_21819,__tpi_op_329___buf_split_21819,__tpi_op_329___buf_split_21819,sa0,1
4,__tpi_op_208_N58872 /0 undetected,output,,__tpi_op_208_N58872,__tpi_op_208_N58872,0,undetected,__tpi_op_208_N58872,__tpi_op_208_N58872,__tpi_op_208_N58872,sa0,1
5,__tpi_op_200_N14400 /0 undetected,output,,__tpi_op_200_N14400,__tpi_op_200_N14400,0,undetected,__tpi_op_200_N14400,__tpi_op_200_N14400,__tpi_op_200_N14400,sa0,1
6,__tpi_op_69___buf_split_19583 /0 undetected,output,,__tpi_op_69___buf_split_19583,__tpi_op_69___buf_split_19583,0,undetected,__tpi_op_69___buf_split_19583,__tpi_op_69___buf_split_19583,__tpi_op_69___buf_split_19583,sa0,1
7,__tpi_op_23___buf_split_19584 /0 undetected,output,,__tpi_op_23___buf_split_19584,__tpi_op_23___buf_split_19584,0,undetected,__tpi_op_23___buf_split_19584,__tpi_op_23___buf_split_19584,__tpi_op_23___buf_split_19584,sa0,1
8,N46903 /1 undetected,output,,N46903,N46903,1,undetected,N46903,N46903,N46903,sa1,1
9,N4001 /1 undetected,output,,N4001,N4001,1,undetected,N4001,N4001,N4001,sa1,1
10,N47005 /1 undetected,output,,N47005,N47005,1,undetected,N47005,N47005,N47005,sa1,1
11,N46638 /1 undetected,output,,N46638,N46638,1,undetected,N46638,N46638,N46638,sa1,1
12,N4009 /1 undetected,output,,N4009,N4009,1,undetected,N4009,N4009,N4009,sa1,1
13,N6239 /1 undetected,output,,N6239,N6239,1,undetected,N6239,N6239,N6239,sa1,1
14,N7264 /1 undetected,output,,N7264,N7264,1,undetected,N7264,N7264,N7264,sa1,1
15,N53167 /1 undetected,output,,N53167,N53167,1,undetected,N53167,N53167,N53167,sa1,1
16,N52998 /1 undetected,output,,N52998,N52998,1,undetected,N52998,N52998,N52998,sa1,1
17,N51419 /1 undetected,output,,N51419,N51419,1,undetected,N51419,N51419,N51419,sa1,1
18,N23404 /1 undetected,output,,N23404,N23404,1,undetected,N23404,N23404,N23404,sa1,1
19,N16046 /1 undetected,output,,N16046,N16046,1,undetected,N16046,N16046,N16046,sa1,1
20,N15926 /1 undetected,output,,N15926,N15926,1,undetected,N15926,N15926,N15926,sa1,1
21,N16045 /1 undetected,output,,N16045,N16045,1,undetected,N16045,N16045,N16045,sa1,1
22,N16044 /1 undetected,output,,N16044,N16044,1,undetected,N16044,N16044,N16044,sa1,1
23,N52775 /1 undetected,output,,N52775,N52775,1,undetected,N52775,N52775,N52775,sa1,1
24,N16043 /1 undetected,output,,N16043,N16043,1,undetected,N16043,N16043,N16043,sa1,1
25,N15934 /1 undetected,output,,N15934,N15934,1,undetected,N15934,N15934,N15934,sa1,1
26,N15929 /1 undetected,output,,N15929,N15929,1,undetected,N15929,N15929,N15929,sa1,1
27,N52772 /1 undetected,output,,N52772,N52772,1,undetected,N52772,N52772,N52772,sa1,1
28,N15927 /1 undetected,output,,N15927,N15927,1,undetected,N15927,N15927,N15927,sa1,1
29,N54295 /1 undetected,output,,N54295,N54295,1,undetected,N54295,N54295,N54295,sa1,1
30,N2715 /1 undetected,output,,N2715,N2715,1,undetected,N2715,N2715,N2715,sa1,1
31,N42777 /1 undetected,output,,N42777,N42777,1,undetected,N42777,N42777,N42777,sa1,1
32,N5923 /1 undetected,output,,N5923,N5923,1,undetected,N5923,N5923,N5923,sa1,1
33,N48913 /1 undetected,output,,N48913,N48913,1,undetected,N48913,N48913,N48913,sa1,1
34,N21765 /1 undetected,output,,N21765,N21765,1,undetected,N21765,N21765,N21765,sa1,1
35,N5155 /1 undetected,output,,N5155,N5155,1,undetected,N5155,N5155,N5155,sa1,1
36,N5154 /1 undetected,output,,N5154,N5154,1,undetected,N5154,N5154,N5154,sa1,1
37,N14875 /1 undetected,output,,N14875,N14875,1,undetected,N14875,N14875,N14875,sa1,1
38,N14840 /1 undetected,output,,N14840,N14840,1,undetected,N14840,N14840,N14840,sa1,1
39,N14795 /1 undetected,output,,N14795,N14795,1,undetected,N14795,N14795,N14795,sa1,1
40,N59196 /1 undetected,output,,N59196,N59196,1,undetected,N59196,N59196,N59196,sa1,1
41,N41206 /1 undetected,output,,N41206,N41206,1,undetected,N41206,N41206,N41206,sa1,1
42,N20868 /1 undetected,output,,N20868,N20868,1,undetected,N20868,N20868,N20868,sa1,1
43,N1943 /1 undetected,output,,N1943,N1943,1,undetected,N1943,N1943,N1943,sa1,1
44,N1942 /1 undetected,output,,N1942,N1942,1,undetected,N1942,N1942,N1942,sa1,1
45,N8848 /1 undetected,output,,N8848,N8848,1,undetected,N8848,N8848,N8848,sa1,1
46,N40148 /1 undetected,output,,N40148,N40148,1,undetected,N40148,N40148,N40148,sa1,1
47,N55381 /1 undetected,output,,N55381,N55381,1,undetected,N55381,N55381,N55381,sa1,1
48,N8847 /1 undetected,output,,N8847,N8847,1,undetected,N8847,N8847,N8847,sa1,1
49,N8839 /1 undetected,output,,N8839,N8839,1,undetected,N8839,N8839,N8839,sa1,1
50,N55435 /1 undetected,output,,N55435,N55435,1,undetected,N55435,N55435,N55435,sa1,1
51,N55379 /1 undetected,output,,N55379,N55379,1,undetected,N55379,N55379,N55379,sa1,1
52,N12887 /1 undetected,output,,N12887,N12887,1,undetected,N12887,N12887,N12887,sa1,1
53,N12886 /1 undetected,output,,N12886,N12886,1,undetected,N12886,N12886,N12886,sa1,1
